data_publicada,titulo_publicado,url,nome_arquivo,responsavel,passagem_1,passagem_2,passagem_3,passagem_4,passagem_5,qtde_tokens_pass_1,qtde_tokens_pass_2,qtde_tokens_pass_3,qtde_tokens_pass_4,qtde_tokens_pass_5,qtde_total_tokens
2023-09-14,157-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/DA/30/5B/7C/6559A810490919A8DC0D8AA8/OC 157-2023 PRE - Realocação de Limites Entre Mercados (PT).pdf,2023-09-14|157-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-14,156-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/2A/A7/12/81/9F49A8102F9819A8AC094EA8/OC 156-2023 PRE Novo Serviço de Drop Copy B3 – Desativação da Plataforma Legada (PT).pdf,2023-09-14|156-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-14,155-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/18/11/95/29/5F49A8102F9819A8AC094EA8/OC 155-2023 PRE LiNe 5.0 Correção do cenário de in-flight modification e próximas ondas do LiNe (PT).pdf,2023-09-14|155-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-14,048-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/05/82/71/DE/E549A8102F9819A8AC094EA8/CE 048-2023-VPC Serviço de RCC Melhorias e simplificações nas APIs_vf.pdf,2023-09-14|048-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-12,044-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/D7/72/DA/AE/D798A8103234E0A8AC094EA8/CE 044-2023-VPC Registro de Derivativos de Balcão com CCP - Opções Registro em D0_vf.pdf,2023-09-12|044-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-12,047-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/CC/56/17/1E/8F98A8103234E0A8AC094EA8/CE 047-2023-VPC Modelo PNP PN_REVISADO (versão limpa).pdf,2023-09-12|047-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-12,045-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/CE/B2/40/92/E898A8103234E0A8AC094EA8/CE 045-2023-VPC 3M_DEZ23 - Balcão B3_vf.pdf,2023-09-12|045-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-12,153-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/B6/46/6B/29/D1A8A8103234E0A8AC094EA8/OC 153-2023 PRE Alterações na Política de Tarifação Derivativos Listados e Nova Versão do Documento Tarifação...(PT).pdf,2023-09-12|153-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-12,151-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/1C/B3/BE/AD/41A8A8103234E0A8AC094EA8/OC 151-2023 PRE Implementação da Janela de Entrega de Ativos Diluída para Renda Variável (PT).pdf,2023-09-12|151-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-09-11,079-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/EB/45/3A/E9/9648A8103234E0A8AC094EA8/CE 079-2023-VNC Alteração do tamanho mínimo para registro de ofertas diretas_PT.pdf,2023-09-11|079-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-05,078-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/D1/47/48/25/6856A8103234E0A8AC094EA8/CE 078-2023-VNC Pacote de melhorias dos Sistemas da Câmara 2023_PT.pdf,2023-09-05|078-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-05,077-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/68/F6/9F/27/3856A8103234E0A8AC094EA8/CE 077-2023-VNC Market Data B3  Atualização de Manutenção do Market Data Binário_PT.pdf,2023-09-05|077-2023-VNC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-09-05,043-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/F6/D5/71/00/6076A8103234E0A8AC094EA8/CE 043-2023-VPC - Esclarecimentos Bloco Final v7.pdf,2023-09-05|043-2023-VPC-Comunicado Externo.pdf,,,,,,,,,,,,
2023-08-31,150-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/4D/C1/81/C0/94C4A8103234E0A8AC094EA8/OC 150-2023 PRE Alterações no MPO de Negociação da B3 - EDS-UDS (PT).pdf,2023-08-31|150-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
2023-08-30,149-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/CC/C0/BC/23/3C74A8103234E0A8AC094EA8/OC 149-2023 PRE  Realocação de Limites entre Mercados - MRFG3 (PT).pdf,2023-08-30|149-2023-PRE-Ofício Circular.pdf,,,,,,,,,,,,
