published_date,published_title,url,file_name
2023-10-17,167-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/08/21/D5/4C/F0E3B810DDBC40B8DC0D8AA8/OC 167-2023 PRE Tratamento de Posições em virtude de OPA  Cancelamento de Registro da BR PROPERTIES S.A. (PT).pdf,2023-10-17|167-2023-PRE-Ofício Circular.pdf
2023-10-10,163-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/1C/C6/4E/49/F4A1B810DDBC40B8DC0D8AA8/OC 163-2023 PRE Atualização do ESG Workspace e Incorporação de Novos Módulos à Plataforma (PT).pdf,2023-10-10|163-2023-PRE-Ofício Circular.pdf
2023-10-10,162-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/29/35/0C/8D/74A1B810DDBC40B8DC0D8AA8/OC 162-2023 PRE IBOV11 OC Lançamento - opção de venda (PT).pdf,2023-10-10|162-2023-PRE-Ofício Circular.pdf
2023-10-10,161-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/3B/71/53/DB/32A1B810DDBC40B8DC0D8AA8/OC 161-2023 PRE IBOV11 OC Lançamento - opção de compra (PT).pdf,2023-10-10|161-2023-PRE-Ofício Circular.pdf
2023-10-10,160-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/99/D3/27/CE/DF91B810DDBC40B8DC0D8AA8/OC 160-2023 PRE  Feriado Extraordinário - Adequação dos Contratos de Derivativos Listados (PT).pdf,2023-10-10|160-2023-PRE-Ofício Circular.pdf
2023-10-10,096-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/ED/67/3C/84/B1B1B810E9C1AAA8AC094EA8/CE 096-2023-VNC Alteração do tamanho mínimo para registro de ofertas diretas_PT.pdf,2023-10-10|096-2023-VNC-Comunicado Externo.pdf
2023-10-10,054-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/48/A1/82/0F/F2A1B810E9C1AAA8AC094EA8/CE 054-2023-VPC Fundos_Balcão B3.pdf,2023-10-10|054-2023-VPC-Comunicado Externo.pdf
2023-10-10,164-2023-PRE-Ofício Circular,https://www.b3.com.br/data/files/58/50/FF/7B/25A1B810DDBC40B8DC0D8AA8/OC 164-2023 PRE Tratamento das Carteiras de Índices da B3 em virtude de OPA da BR Properties S.A. (PT).pdf,2023-10-10|164-2023-PRE-Ofício Circular.pdf
2023-10-09,095-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/E0/34/8E/A4/7061B810E9C1AAA8AC094EA8/CE 095-2023-VNC Replanejamento da Release de Manutenção do Market Data Binário_PT.pdf,2023-10-09|095-2023-VNC-Comunicado Externo.pdf
2023-10-05,015-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/F2/E7/C0/D3/6020B810E9C1AAA8AC094EA8/OC 015-2023-VNC LiNe 5.0 - Afinidade por Núcleo de Negociação - Replanejamento das Ondas de Implementação_TF_Compliance.pdf,2023-10-05|015-2023-VNC-Ofício Circular.pdf
2023-10-05,050-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/A5/04/07/CC/7110B810E9C1AAA8AC094EA8/CE 050-2023-VPC Desativação_PDF.pdf,2023-10-05|050-2023-VPC-Comunicado Externo.pdf
2023-10-05,017-2023-VPC-Ofício Circular,https://www.b3.com.br/data/files/BB/35/6C/6C/E810B810E9C1AAA8AC094EA8/OC 017-2023-VPC Consolidação de Regras da Política Tarifação Produtos Mercado Renda Variável PT.pdf,2023-10-05|017-2023-VPC-Ofício Circular.pdf
2023-10-05,052-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/05/F0/F4/94/2610B810E9C1AAA8AC094EA8/CE 052-2023-VPC Reajuste_Preços_MarketData_2024_PT_V1.2.pdf,2023-10-05|052-2023-VPC-Comunicado Externo.pdf
2023-10-05,051-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/E4/92/39/AB/6310B810E9C1AAA8AC094EA8/CE 051-2023-VPC Reajuste_Preços_Conectividade_2024_PT_V1.4 .pdf,2023-10-05|051-2023-VPC-Comunicado Externo.pdf
2023-10-05,053-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/D3/F7/52/AB/4710B810E9C1AAA8AC094EA8/CE 053-2023-VPC U2D_Reajuste preços_2024_PT.pdf,2023-10-05|053-2023-VPC-Comunicado Externo.pdf
2023-10-03,094-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/9D/54/16/1E/A27FA810E9C1AAA8AC094EA8/CE 094-2023-VNC Gateway Binário - Solicitação de Regras de Drop Copy_PT.pdf,2023-10-03|094-2023-VNC-Comunicado Externo.pdf
2023-10-03,093-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/F3/14/5B/15/627FA810E9C1AAA8AC094EA8/CE 093-2023-VNC Sessão Negociação Simulada PUMA Trading System 07-10_PT.pdf,2023-10-03|093-2023-VNC-Comunicado Externo.pdf
2023-10-03,092-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/D6/43/3E/99/8C6FA810E9C1AAA8AC094EA8/CE 092-2023-VNC MRP e REG PROC - Vigência e Direito Intertemporal_PT.pdf,2023-10-03|092-2023-VNC-Comunicado Externo.pdf
2023-10-03,091-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/C2/97/04/34/406FA810E9C1AAA8AC094EA8/CE 091-2023-VNC Sessões de Negociacao Simulada do 1º semestre de 2024_PT.pdf,2023-10-03|091-2023-VNC-Comunicado Externo.pdf
2023-10-03,049-2023-VPC-Comunicado Externo,https://www.b3.com.br/data/files/DE/76/21/62/B96FA810E9C1AAA8AC094EA8/CE 049-2023-VPC Comunicado_U2D Desligamento canal energia.pdf,2023-10-03|049-2023-VPC-Comunicado Externo.pdf
2023-10-03,014-2023-VNC-Ofício Circular,https://www.b3.com.br/data/files/56/60/3A/F9/A06FA810E9C1AAA8AC094EA8/OC 014-2023-VNC Novos Horários Nov23_PT.pdf,2023-10-03|014-2023-VNC-Ofício Circular.pdf
2023-09-28,090-2023-VNC-Comunicado Externo,https://www.b3.com.br/data/files/3B/61/7B/62/9CCDA810E9C1AAA8AC094EA8/CE 090-2023-VNC Order Entry Gateway_Atualização Template_PT.pdf,2023-09-28|090-2023-VNC-Comunicado Externo.pdf
